,Unnamed: 0,Class,FL_B,FL_A,VS,FL_B_3,FL_A_3,FL_B_12,FL_A_12,Container Type,Recyclable fraction,FL_C,FL_C_3,FL_C_12
0,0,0,85.3,34.4,6.0,75.9,54.7,83.3,39.8,12,0,-50.9,-21.200000000000003,-43.5
1,1,0,96.2,51.7,8.0,83.3,33.9,85.0,57.4,1,1,-44.5,-49.4,-27.6
2,2,1,50.9,63.5,5.0,30.8,55.7,51.7,68.5,1,2,12.6,24.9,16.799999999999997
3,3,0,83.1,33.9,6.0,91.8,61.1,84.6,43.6,7,0,-49.2,-30.7,-40.99999999999999
4,4,1,73.5,32.2,3.0,68.0,30.5,62.4,53.0,7,1,-41.3,-37.5,-9.4
5,5,1,53.4,50.0,3.0,77.9,28.6,62.3,62.4,11,2,-3.3999999999999986,-49.3,0.1000000000000014
6,6,1,58.4,51.5,5.0,56.2,64.4,34.2,67.9,8,2,-6.899999999999999,8.200000000000003,33.7
7,7,0,90.7,34.7,6.0,81.8,57.0,75.6,42.6,2,2,-56.0,-24.8,-32.99999999999999
8,8,0,83.9,46.2,6.0,70.0,67.0,92.1,54.5,0,2,-37.7,-3.0,-37.6
9,9,0,72.1,39.7,8.0,92.3,42.9,65.9,44.5,3,1,-32.39999999999999,-49.4,-21.40000000000001
10,10,1,30.6,32.8,2.0,53.0,60.0,52.9,35.7,5,2,2.199999999999996,7.0,-17.199999999999996
11,11,0,85.8,63.0,6.0,91.3,59.4,71.6,21.5,9,1,-22.8,-31.9,-50.1
12,12,1,69.3,55.5,3.0,53.5,60.8,68.4,24.2,1,2,-13.799999999999995,7.299999999999997,-44.2
13,13,0,93.6,40.7,6.0,82.0,55.8,76.2,57.6,13,0,-52.89999999999999,-26.200000000000003,-18.6
14,14,1,66.0,58.8,5.0,53.4,66.3,50.8,51.6,12,0,-7.200000000000003,12.9,0.8000000000000043
15,15,1,39.7,32.5,3.0,39.6,22.5,72.3,34.3,6,2,-7.200000000000003,-17.1,-38.0
16,16,0,83.3,32.7,8.0,85.6,47.2,69.8,51.4,5,0,-50.6,-38.39999999999999,-18.4
17,17,1,62.2,52.4,5.0,66.0,21.6,38.5,51.6,11,2,-9.800000000000004,-44.4,13.1
18,18,1,32.7,50.7,3.0,61.3,24.4,52.3,58.9,13,2,18.0,-36.9,6.600000000000001
19,19,1,67.6,51.1,2.0,51.5,58.0,38.7,54.1,12,2,-16.499999999999993,6.5,15.4
20,20,1,34.3,34.6,5.0,54.4,33.6,65.4,56.8,12,2,0.3000000000000042,-20.8,-8.600000000000009
21,21,1,35.8,30.0,1.0,54.1,22.7,70.1,33.3,3,2,-5.799999999999997,-31.4,-36.8
22,22,1,60.1,66.5,3.0,36.0,22.0,30.6,34.4,7,2,6.399999999999999,-14.0,3.799999999999997
23,23,1,52.5,51.1,1.0,64.1,20.1,69.2,51.4,2,1,-1.3999999999999986,-43.99999999999999,-17.800000000000004
24,24,1,52.4,26.4,4.0,63.5,27.2,71.9,60.3,8,2,-26.0,-36.3,-11.600000000000009
25,25,0,98.0,39.6,6.0,84.1,61.7,76.3,51.0,10,1,-58.4,-22.39999999999999,-25.3
26,26,0,97.7,43.1,6.0,95.8,27.7,63.6,47.0,8,0,-54.6,-68.1,-16.6
27,27,1,73.7,24.3,1.0,76.0,51.0,66.9,37.0,0,2,-49.400000000000006,-25.0,-29.90000000000001
28,28,1,52.4,20.4,4.0,50.1,25.9,59.5,38.7,0,1,-32.0,-24.200000000000003,-20.8
29,29,1,56.8,57.2,5.0,76.2,33.0,71.0,37.8,2,2,0.4000000000000057,-43.2,-33.2
30,30,0,94.3,26.5,9.0,94.0,51.5,71.2,25.0,11,0,-67.8,-42.5,-46.2
31,31,0,90.3,51.2,8.0,77.8,66.5,61.4,55.7,6,1,-39.1,-11.299999999999995,-5.699999999999996
32,32,1,56.3,36.3,3.0,59.8,30.4,33.0,51.8,12,1,-20.0,-29.4,18.8
33,33,0,86.7,67.4,9.0,99.8,42.5,88.2,60.3,0,2,-19.3,-57.3,-27.90000000000001
34,34,0,60.9,55.0,6.0,69.1,25.2,88.2,39.4,2,0,-5.899999999999999,-43.89999999999999,-48.8
35,35,1,57.0,31.8,5.0,66.0,60.2,74.7,36.6,3,0,-25.2,-5.799999999999997,-38.1
36,36,0,72.4,62.6,7.0,60.1,30.8,75.3,40.3,12,0,-9.800000000000004,-29.3,-35.0
37,37,0,68.9,40.1,8.0,94.2,53.2,62.9,58.2,7,1,-28.800000000000004,-41.0,-4.699999999999996
38,38,0,99.5,46.3,7.0,66.3,48.1,68.7026088831392,52.4,5,0,-53.2,-18.2,-16.302608883139207
39,39,0,65.8,53.2,8.0,85.9,45.85,81.8,55.2,5,1,-12.599999999999994,-40.05000000000001,-26.599999999999994
40,40,0,83.0,36.6,9.0,64.7,58.0,84.7,66.3,5,2,-46.4,-6.700000000000003,-18.40000000000001
41,41,1,64.3,56.0,3.0,70.6,25.8,64.4,65.6,4,2,-8.299999999999997,-44.8,1.1999999999999886
42,42,0,74.3,31.1,9.0,83.0,56.4,89.8,33.2,1,2,-43.2,-26.6,-56.6
43,43,0,89.3,44.1,9.0,91.2,64.2,88.3,50.3,9,2,-45.2,-27.0,-38.0
44,44,0,85.4,35.7,8.0,82.9,20.3,81.7,38.1,6,0,-49.7,-62.60000000000001,-43.6
45,45,0,95.4,50.6,6.0,92.8,30.0,96.1,51.9,13,0,-44.8,-62.8,-44.2
46,46,0,75.1,42.6,6.0,97.7,35.3,83.3,50.4,7,0,-32.49999999999999,-62.400000000000006,-32.9
47,47,1,50.4,30.7,4.0,76.0,60.9,60.9,56.8,13,0,-19.7,-15.1,-4.100000000000001
48,48,0,91.0,22.9,7.0,84.0,43.7,91.4,30.2,11,0,-68.1,-40.3,-61.2
49,49,0,81.7,37.1,7.0,81.1,36.9,93.5,16.9,0,0,-44.6,-44.2,-76.6
50,50,1,51.4,53.4,1.0,64.2,25.3,39.1,30.9,6,2,2.0,-38.900000000000006,-8.200000000000003
51,51,1,30.8,38.2,1.0,61.5,52.6,59.9,52.5,5,1,7.400000000000002,-8.899999999999999,-7.399999999999999
