,Class,FL_B,FL_A,VS,FL_B_3,FL_A_3,FL_B_12,FL_A_12,Container Type,Recyclable fraction,FL_C,FL_C_3,FL_C_12
0,0,0.9424208037758043,-0.7406360188065128,0.36056357745833834,75.9,54.7,83.3,39.8,12,0,-1.4043347322127344,-21.200000000000003,-43.5
1,0,1.5546660088668705,0.42210165311201625,1.1781113028319747,83.3,33.9,85.0,57.4,1,1,-1.0810103250749772,-49.4,-27.6
2,1,-0.989802595777651,1.215182839738527,-0.048210285228479824,30.8,55.7,51.7,68.5,1,2,1.8036496198572016,24.900000000000002,16.799999999999997
3,0,0.8188483770601762,-0.7742411538330598,0.36056357745833834,91.8,61.1,84.6,43.6,7,0,-1.3184516865667675,-30.699999999999996,-40.99999999999999
4,1,0.2796232423010727,-0.8884986129233196,-0.8657580106021161,68.0,30.5,62.4,53.0,7,1,-0.9193481215060985,-37.5,-9.399999999999999
5,1,-0.849379383600801,0.30784419402175606,-0.8657580106021161,77.9,28.6,62.3,62.4,11,2,0.9953386020128083,-49.300000000000004,0.10000000000000142
6,1,-0.5685329592471011,0.40865959910139726,-0.048210285228479824,56.2,64.4,34.2,67.9,8,2,0.8185205668593473,8.200000000000003,33.7
7,0,1.2457349420778006,-0.7204729377905842,0.36056357745833834,81.8,57.0,75.6,42.6,2,2,-1.6619838691506348,-24.799999999999997,-32.99999999999999
8,0,0.8637838049567688,0.052445167819998466,0.36056357745833834,70.0,67.0,92.1,54.5,0,2,-0.7374781424911102,-3.0,-37.599999999999994
9,0,0.2009862434820364,-0.38442158752511346,1.1781113028319747,92.3,42.9,65.9,44.5,3,1,-0.4697251178301543,-49.4,-21.400000000000006
10,1,-2.1300390786536725,-0.8481724508914634,-1.2745318732889344,53.0,60.0,52.9,35.7,5,2,1.2782474582583458,7.0,-17.199999999999996
11,0,0.9705054462111743,1.18157770471198,0.36056357745833834,91.3,59.4,71.6,21.5,9,1,0.015261492876481443,-31.9,-50.099999999999994
12,1,0.04371224584396462,0.6775006793137739,-0.8657580106021161,53.5,60.8,68.4,24.2,1,2,0.4699364404139527,7.299999999999997,-44.2
13,0,1.408625868202946,-0.31721131747201936,0.36056357745833834,82.0,55.8,76.2,57.6,13,0,-1.5053736094432832,-26.200000000000003,-18.6
14,1,-0.14164639422947717,0.8992945704889843,-0.048210285228479824,53.4,66.3,50.8,51.6,12,0,0.8033647352747647,12.899999999999999,0.8000000000000043
15,1,-1.6188985863299385,-0.8683355319073915,-0.8657580106021161,39.6,22.5,72.3,34.3,6,2,0.8033647352747647,-17.1,-38.0
16,0,0.8300822340343244,-0.8548934778967725,1.1781113028319747,85.6,47.2,69.8,51.4,5,0,-1.3891789006281519,-38.39999999999999,-18.4
17,1,-0.35508967673828895,0.4691488421491819,-0.048210285228479824,66.0,21.6,38.5,51.6,11,2,0.6720141948750508,-44.4,13.100000000000001
18,1,-2.0120835804251183,0.35489138305892215,-0.8657580106021161,61.3,24.4,52.3,58.9,13,2,2.0764545883796846,-36.9,6.600000000000001
19,1,-0.05177553843629351,0.3817754910801597,-1.2745318732889344,51.5,58.0,38.7,54.1,12,2,0.33353395615271153,6.5,15.399999999999999
20,1,-1.9222127246319347,-0.7271939647958937,-0.048210285228479824,54.4,33.6,65.4,56.8,12,2,1.1822605248893245,-20.799999999999997,-8.600000000000009
21,1,-1.8379587973258247,-1.036361207040127,-1.6833057359757524,54.1,22.7,70.1,33.3,3,2,0.8740919493361494,-31.400000000000002,-36.8
22,1,-0.47304517496684295,1.4168136498978094,-0.8657580106021161,36.0,22.0,30.6,34.4,7,2,1.4904291004424992,-14.0,3.799999999999997
23,1,-0.8999317399844668,0.3817754910801597,-1.6833057359757524,64.1,20.1,69.2,51.4,2,1,1.0963774792433576,-43.99999999999999,-17.800000000000004
24,1,-0.905548668471541,-1.278318179231266,-0.45698414791529796,63.5,27.2,71.9,60.3,8,2,-0.14640071069239738,-36.3,-11.600000000000009
25,0,1.6557707216342021,-0.391142614530423,0.36056357745833834,84.1,61.7,76.3,51.0,10,1,-1.7832305218272941,-22.39999999999999,-25.299999999999997
26,0,1.6389199361729805,-0.1559066693445935,0.36056357745833834,95.8,27.7,63.6,47.0,8,0,-1.5912566550892506,-68.1,-16.6
27,1,0.29085709927522085,-1.4194597463427634,-1.6833057359757524,76.0,51.0,66.9,37.0,0,2,-1.328555574289823,-25.0,-29.900000000000006
28,1,-0.905548668471541,-1.6815797995498307,-0.45698414791529796,50.1,25.9,59.5,38.7,0,1,-0.4495173423840449,-24.200000000000003,-20.799999999999997
29,1,-0.6584038150402851,0.7917581384040341,-0.048210285228479824,76.2,33.0,71.0,37.8,2,2,1.187312468750852,-43.2,-33.2
30,0,1.4479443676124641,-1.2715971522259564,1.5868851655187928,94.0,51.5,71.2,25.0,11,0,-2.258113244810875,-42.5,-46.2
31,0,1.2232672281295043,0.3884965180854692,1.1781113028319747,77.8,66.5,61.4,55.7,6,1,-0.8082053565524941,-11.299999999999997,-5.699999999999996
32,1,-0.6864884574756551,-0.612936505705634,-0.8657580106021161,59.8,30.4,33.0,51.8,12,1,0.15671592099925014,-29.4,18.799999999999997
33,0,1.0210578025948407,1.4773028929455945,1.5868851655187928,99.8,42.5,88.2,60.3,0,2,0.1920795280299425,-57.3,-27.900000000000006
34,0,-0.4281097470702511,0.6438955442872267,0.36056357745833834,69.1,25.2,88.2,39.4,2,0,0.8690400054746219,-43.89999999999999,-48.800000000000004
35,1,-0.647169958066137,-0.9153827209445574,-0.048210285228479824,66.0,60.2,74.7,36.6,3,0,-0.10598515980017767,-5.799999999999997,-38.1
36,0,0.21783702894325904,1.1546935966907423,0.7693374401451565,60.1,30.8,75.3,40.3,12,0,0.6720141948750508,-29.3,-35.0
37,0,0.021244531895669102,-0.35753747950387593,1.1781113028319747,94.2,53.2,62.9,58.2,7,1,-0.28785513881516644,-41.0,-4.699999999999996
38,0,1.7400246489403122,0.0591661948253075,0.7693374401451565,66.3,48.1,68.7026088831392,52.4,5,0,-1.5205294410278662,-18.199999999999996,-16.302608883139207
39,0,-0.1528802512036253,0.5229170581916575,1.1781113028319747,85.9,45.849999999999994,81.8,55.2,5,1,0.5305597667522823,-40.05000000000001,-26.599999999999994
40,0,0.8132314485731025,-0.5927734246897054,1.5868851655187928,64.7,58.0,84.7,66.3,5,2,-1.176997258443999,-6.700000000000003,-18.400000000000006
41,1,-0.23713417850973528,0.7111058143403209,-0.8657580106021161,70.6,25.8,64.4,65.6,4,2,0.747793352797963,-44.8,1.1999999999999886
42,0,0.32455867019766454,-0.9624299099817233,1.5868851655187928,83.0,56.4,89.8,33.2,1,2,-1.01533505487512,-26.6,-56.599999999999994
43,0,1.1670979432587643,-0.08869639929149933,1.5868851655187928,91.2,64.2,88.3,50.3,9,2,-1.1163739321056692,-27.0,-38.0
44,0,0.9480377322628788,-0.6532626677374901,1.1781113028319747,82.9,20.3,81.7,38.1,6,0,-1.3437114058744053,-62.60000000000001,-43.6
45,0,1.5097305809702786,0.34817035605361263,0.36056357745833834,92.8,30.0,96.1,51.9,13,0,-1.0961661566595597,-62.8,-44.199999999999996
46,0,0.3694940980942563,-0.18951180437114057,0.36056357745833834,97.7,35.3,83.3,50.4,7,0,-0.4747770616916818,-62.400000000000006,-32.9
47,1,-1.0178872382130209,-0.989314018002961,-0.45698414791529796,76.0,60.9,60.9,56.8,13,0,0.17187175258383255,-15.100000000000001,-4.100000000000001
48,0,1.2625857275390224,-1.5135541244170954,0.7693374401451565,84.0,43.7,91.4,30.2,11,0,-2.273269076395457,-40.3,-61.2
49,0,0.7402113782411407,-0.5591682896631583,0.7693374401451565,81.1,36.9,93.5,16.9,0,0,-1.0860622689365047,-44.199999999999996,-76.6
50,1,-0.9617179533422809,0.5363591122022761,-1.6833057359757524,64.2,25.3,39.1,30.9,6,2,1.268143570535291,-38.900000000000006,-8.200000000000003
51,1,-2.1188052216795246,-0.4852369926047547,-1.6833057359757524,61.5,52.6,59.9,52.5,5,1,1.540948539057774,-8.899999999999999,-7.399999999999999
52,1,-0.765125456294691,0.6506165712925362,-0.8657580106021161,60.9,22.0,63.5,34.8,3,1,1.177208581027797,-38.9,-28.700000000000003
53,0,0.5660865951418462,0.5229170581916575,1.5868851655187928,65.8,38.8,84.1,60.8,9,1,-0.1160890475232322,-27.0,-23.299999999999997
54,0,0.010010674921520945,0.44898576113325384,0.36056357745833834,82.1,41.3,90.4,44.2,13,0,0.3284820122911837,-40.8,-46.2
55,1,-0.9785687388035028,-1.332086395273741,-1.2745318732889344,57.6,56.6,70.5,60.9,7,1,-0.12114099138476009,-1.0,-9.600000000000001
56,1,-1.7593217985067884,-0.9019406669339386,-0.048210285228479824,68.3,22.3,61.8,31.4,6,2,0.9044036125053139,-46.0,-30.4
57,0,1.6950892210437203,0.9328997055155314,1.5868851655187928,60.3,58.3,68.7026088831392,33.0,0,2,-0.8233611881370771,-2.0,-35.702608883139206
58,0,0.5548527381676989,-0.41802672255166057,0.36056357745833834,99.1,69.4,94.4,47.5,7,1,-0.8132573004140221,-29.69999999999999,-46.900000000000006
59,1,-0.939250239393985,-1.4194597463427634,-0.8657580106021161,51.4,31.2,62.8,31.2,2,1,-0.22217986861530908,-20.2,-31.599999999999998
60,1,-0.7426577423463951,-0.5390052086472303,-0.45698414791529796,34.0,50.4,68.1,38.8,7,0,0.2628067420913269,16.4,-29.299999999999997
61,0,1.5378152234056486,-1.6278115835073554,0.36056357745833834,71.9,62.7,69.5,42.8,12,1,-2.6066973712562698,-9.200000000000003,-26.700000000000003
62,1,-2.0064666519380445,1.168135650701361,-0.8657580106021161,69.6,28.2,67.7,53.2,13,0,2.6826878517629797,-41.39999999999999,-14.5
63,1,-0.647169958066137,-0.5054000736206833,-0.8657580106021161,34.1,27.7,73.6,32.2,11,0,0.2021834157529972,-6.400000000000002,-41.39999999999999
64,0,0.6728082363962525,-0.05509126426495226,1.5868851655187928,79.4,44.0,71.8,37.5,0,2,-0.6465431529836158,-35.400000000000006,-34.3
65,1,-1.6582170857394567,0.8656894354624373,-0.048210285228479824,50.3,33.8,51.1,28.0,2,1,2.1421298585795414,-16.5,-23.1
66,0,0.005521249759484846,-0.7742411538330598,0.7693374401451565,83.2,33.6,80.7,20.1,0,0,-0.5869339188693348,-49.6,-60.6
67,1,-2.1244221501665983,-0.6263785597162526,-1.2745318732889344,32.0,24.7,31.6,25.9,6,2,1.4399096618272247,-7.300000000000001,-5.700000000000003
68,0,1.307521155435614,-0.03492818324902421,0.7693374401451565,68.38984476067282,68.1,85.9,40.6,9,2,-1.202256977751636,-0.28984476067282117,-45.300000000000004
69,1,-0.675254600501507,0.6438955442872267,-1.2745318732889344,77.2,56.7,30.1,53.5,10,2,1.09132553538183,-20.5,23.4
70,0,1.4760290100478342,-0.391142614530423,0.36056357745833834,74.3,53.8,81.7,34.1,5,1,-1.6215683182584153,-20.5,-47.6
71,0,-0.2539849639709571,-0.05509126426495226,0.7693374401451565,88.9,56.2,97.0,60.6,2,1,0.18702758416841497,-32.7,-36.4
72,1,1.436710510638316,0.7984791654093432,0.36056357745833834,68.38984476067282,21.0,82.6,41.9,8,0,-0.6920106477373628,-47.389844760672815,-40.699999999999996
73,1,0.6671913079091789,-0.33065337148263835,0.7693374401451565,83.1,51.8,92.2,39.5,3,2,-0.8486209074447144,-31.299999999999997,-52.7
74,0,0.7008928788316225,0.5161960311863479,0.36056357745833834,79.1,45.849999999999994,84.4,63.2,2,0,-0.24238764406141902,-33.25,-21.200000000000003
75,1,0.5829373806030689,0.6102904092606797,-0.45698414791529796,59.7,67.2,75.0,33.1,10,1,-0.06556960890795832,7.5,-41.9
76,1,-1.8604265112741207,-1.2043868821728623,-0.45698414791529796,55.5,53.9,50.1,62.3,11,1,0.7680011282440727,-1.6000000000000014,12.199999999999996
77,1,-1.7200032990972707,0.4153806261067068,-0.048210285228479824,36.6,37.1,51.2,22.4,9,1,1.8592210023340041,0.5,-28.800000000000004
78,1,-0.2876865348934012,0.4893119231651104,-1.2745318732889344,57.2,31.7,72.7,22.4,12,0,0.626546700121304,-25.500000000000004,-50.300000000000004
79,1,-1.9502973670673047,-0.5658893166684679,-0.45698414791529796,77.5,22.2,53.7,51.2,5,2,1.3287668968736206,-55.3,-2.5
80,0,-0.2876865348934012,-1.3858546113162165,1.5868851655187928,95.9,52.9,96.0,50.9,6,2,-0.7829456372448569,-43.00000000000001,-45.1
81,0,0.005521249759484846,1.5377921359933786,0.7693374401451565,83.2,24.6,83.5,43.5,4,1,1.150934769496111,-58.6,-40.0
82,1,-0.7538915993205428,-0.8952196399286291,-1.2745318732889344,64.5,37.9,74.3,28.5,12,1,0.005157605153426382,-26.6,-45.8
83,0,0.8525499479826206,-1.036361207040127,0.36056357745833834,89.3,42.3,97.9,34.2,6,0,-1.5457891603355036,-47.0,-63.7
84,1,0.06617995979226092,0.7111058143403209,-0.8657580106021161,63.3,37.1,33.4,32.7,5,1,0.4749883842754799,-26.199999999999996,-0.6999999999999957
